Extended_Flutes_20-Nov-20_4:17:55 PM	Left_PQC4_CBKRStrip_s
Temperature(C)= 22.0	Humidity(%)= 6.5
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-13.100E-3
-95.000E-6	-13.340E-3
-90.000E-6	-13.680E-3
-85.000E-6	-13.230E-3
-80.000E-6	-12.690E-3
-75.000E-6	-12.030E-3
-70.000E-6	-10.640E-3
-65.000E-6	-10.050E-3
-60.000E-6	-9.550E-3
-55.000E-6	-9.090E-3
-50.000E-6	-8.830E-3
-45.000E-6	-8.630E-3
-40.000E-6	-8.090E-3
-35.000E-6	-7.350E-3
-30.000E-6	-6.870E-3
-25.000E-6	-6.260E-3
-20.000E-6	-5.600E-3
-15.000E-6	-4.640E-3
-10.000E-6	-3.550E-3
-5.000E-6	-2.560E-3
0.000E+0	-1.840E-3
5.000E-6	-1.250E-3
10.000E-6	-640.000E-6
15.000E-6	100.000E-6
20.000E-6	630.000E-6
25.000E-6	1.250E-3
30.000E-6	1.560E-3
35.000E-6	2.150E-3
40.000E-6	2.960E-3
45.000E-6	3.940E-3
50.000E-6	4.800E-3
55.000E-6	5.270E-3
60.000E-6	5.580E-3
65.000E-6	6.250E-3
70.000E-6	6.760E-3
75.000E-6	7.830E-3
80.000E-6	8.740E-3
85.000E-6	9.280E-3
90.000E-6	9.900E-3
95.000E-6	10.490E-3
100.000E-6	11.260E-3
