Extended_Flutes_18-Nov-20_6:26:51 PM	Right_PQC4_CBKRStrip_r
Temperature(C)= 23.6	Humidity(%)= 5.7
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-11.000E-3
-95.000E-6	-10.940E-3
-90.000E-6	-10.730E-3
-85.000E-6	-10.350E-3
-80.000E-6	-9.810E-3
-75.000E-6	-9.270E-3
-70.000E-6	-8.730E-3
-65.000E-6	-8.190E-3
-60.000E-6	-7.650E-3
-55.000E-6	-7.100E-3
-50.000E-6	-6.550E-3
-45.000E-6	-6.000E-3
-40.000E-6	-5.670E-3
-35.000E-6	-5.070E-3
-30.000E-6	-4.460E-3
-25.000E-6	-3.850E-3
-20.000E-6	-3.240E-3
-15.000E-6	-2.900E-3
-10.000E-6	-2.290E-3
-5.000E-6	-1.670E-3
0.000E+0	-1.060E-3
5.000E-6	-660.000E-6
10.000E-6	-270.000E-6
15.000E-6	400.000E-6
20.000E-6	1.080E-3
25.000E-6	1.530E-3
30.000E-6	2.220E-3
35.000E-6	2.840E-3
40.000E-6	3.470E-3
45.000E-6	4.100E-3
50.000E-6	4.670E-3
55.000E-6	5.250E-3
60.000E-6	5.600E-3
65.000E-6	6.230E-3
70.000E-6	6.870E-3
75.000E-6	7.500E-3
80.000E-6	7.910E-3
85.000E-6	8.320E-3
90.000E-6	9.010E-3
95.000E-6	9.710E-3
100.000E-6	10.410E-3
