Extended_Flutes_20-Nov-20_1:24:43 PM	Left_PQC4_CBKRStrip_r
Temperature(C)= 21.7	Humidity(%)= 6.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-14.220E-3
-95.000E-6	-14.160E-3
-90.000E-6	-13.880E-3
-85.000E-6	-13.400E-3
-80.000E-6	-12.710E-3
-75.000E-6	-12.300E-3
-70.000E-6	-11.530E-3
-65.000E-6	-10.770E-3
-60.000E-6	-10.280E-3
-55.000E-6	-9.430E-3
-50.000E-6	-8.940E-3
-45.000E-6	-8.370E-3
-40.000E-6	-7.810E-3
-35.000E-6	-6.810E-3
-30.000E-6	-6.240E-3
-25.000E-6	-5.590E-3
-20.000E-6	-4.950E-3
-15.000E-6	-4.300E-3
-10.000E-6	-3.280E-3
-5.000E-6	-2.630E-3
0.000E+0	-1.610E-3
5.000E-6	-730.000E-6
10.000E-6	70.000E-6
15.000E-6	890.000E-6
20.000E-6	1.630E-3
25.000E-6	2.370E-3
30.000E-6	3.120E-3
35.000E-6	3.860E-3
40.000E-6	4.310E-3
45.000E-6	5.140E-3
50.000E-6	5.670E-3
55.000E-6	6.570E-3
60.000E-6	7.480E-3
65.000E-6	8.310E-3
70.000E-6	9.150E-3
75.000E-6	9.910E-3
80.000E-6	10.680E-3
85.000E-6	11.440E-3
90.000E-6	12.210E-3
95.000E-6	12.670E-3
100.000E-6	13.520E-3
