Extended_Flutes_23-Nov-20_9:48:46 AM	Left_PQC4_CBKRStrip_r
Temperature(C)= 19.3	Humidity(%)= 7.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-9.340E-3
-95.000E-6	-9.340E-3
-90.000E-6	-9.150E-3
-85.000E-6	-8.830E-3
-80.000E-6	-8.560E-3
-75.000E-6	-8.010E-3
-70.000E-6	-7.500E-3
-65.000E-6	-6.990E-3
-60.000E-6	-6.480E-3
-55.000E-6	-6.020E-3
-50.000E-6	-5.740E-3
-45.000E-6	-5.230E-3
-40.000E-6	-4.720E-3
-35.000E-6	-4.200E-3
-30.000E-6	-3.690E-3
-25.000E-6	-3.220E-3
-20.000E-6	-2.750E-3
-15.000E-6	-2.470E-3
-10.000E-6	-1.940E-3
-5.000E-6	-1.420E-3
0.000E+0	-900.000E-6
5.000E-6	-570.000E-6
10.000E-6	-50.000E-6
15.000E-6	470.000E-6
20.000E-6	990.000E-6
25.000E-6	1.520E-3
30.000E-6	1.810E-3
35.000E-6	2.340E-3
40.000E-6	2.680E-3
45.000E-6	3.250E-3
50.000E-6	3.830E-3
55.000E-6	4.370E-3
60.000E-6	4.710E-3
65.000E-6	5.240E-3
70.000E-6	5.780E-3
75.000E-6	6.310E-3
80.000E-6	6.660E-3
85.000E-6	7.000E-3
90.000E-6	7.590E-3
95.000E-6	8.180E-3
100.000E-6	8.570E-3
