Extended_Flutes_23-Nov-20_10:44:49 AM	Right_PQC4_CBKRStrip_r
Temperature(C)= 20.1	Humidity(%)= 15.6
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.310E-3
-95.000E-6	-12.250E-3
-90.000E-6	-12.010E-3
-85.000E-6	-11.590E-3
-80.000E-6	-10.990E-3
-75.000E-6	-10.390E-3
-70.000E-6	-9.780E-3
-65.000E-6	-9.180E-3
-60.000E-6	-8.570E-3
-55.000E-6	-7.960E-3
-50.000E-6	-7.350E-3
-45.000E-6	-6.730E-3
-40.000E-6	-6.120E-3
-35.000E-6	-5.500E-3
-30.000E-6	-4.880E-3
-25.000E-6	-4.510E-3
-20.000E-6	-3.830E-3
-15.000E-6	-3.390E-3
-10.000E-6	-2.640E-3
-5.000E-6	-1.890E-3
0.000E+0	-1.190E-3
5.000E-6	-500.000E-6
10.000E-6	120.000E-6
15.000E-6	760.000E-6
20.000E-6	1.400E-3
25.000E-6	2.030E-3
30.000E-6	2.670E-3
35.000E-6	3.320E-3
40.000E-6	3.960E-3
45.000E-6	4.600E-3
50.000E-6	5.250E-3
55.000E-6	5.900E-3
60.000E-6	6.540E-3
65.000E-6	7.190E-3
70.000E-6	7.840E-3
75.000E-6	8.500E-3
80.000E-6	9.150E-3
85.000E-6	9.810E-3
90.000E-6	10.200E-3
95.000E-6	10.920E-3
100.000E-6	11.650E-3
