Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC4_CBKRStrip_s
Temperature(C)= 22.2	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-100.000E-6	-12.930E-3
-95.000E-6	-12.930E-3
-90.000E-6	-12.680E-3
-85.000E-6	-12.430E-3
-80.000E-6	-12.050E-3
-75.000E-6	-11.230E-3
-70.000E-6	-10.470E-3
-65.000E-6	-9.710E-3
-60.000E-6	-9.010E-3
-55.000E-6	-8.370E-3
-50.000E-6	-7.730E-3
-45.000E-6	-7.080E-3
-40.000E-6	-6.690E-3
-35.000E-6	-5.980E-3
-30.000E-6	-5.530E-3
-25.000E-6	-5.010E-3
-20.000E-6	-4.160E-3
-15.000E-6	-3.370E-3
-10.000E-6	-2.580E-3
-5.000E-6	-1.860E-3
0.000E+0	-1.190E-3
5.000E-6	-800.000E-6
10.000E-6	-60.000E-6
15.000E-6	660.000E-6
20.000E-6	1.400E-3
25.000E-6	1.860E-3
30.000E-6	2.330E-3
35.000E-6	3.140E-3
40.000E-6	3.680E-3
45.000E-6	4.560E-3
50.000E-6	5.370E-3
55.000E-6	6.120E-3
60.000E-6	6.870E-3
65.000E-6	7.550E-3
70.000E-6	8.240E-3
75.000E-6	8.920E-3
80.000E-6	9.610E-3
85.000E-6	10.290E-3
90.000E-6	10.710E-3
95.000E-6	11.190E-3
100.000E-6	12.020E-3
