Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 23.7	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-169.050E-3
-1.900E-6	-168.210E-3
-1.800E-6	-164.830E-3
-1.700E-6	-161.450E-3
-1.600E-6	-153.000E-3
-1.500E-6	-143.700E-3
-1.400E-6	-134.400E-3
-1.300E-6	-125.110E-3
-1.200E-6	-120.040E-3
-1.100E-6	-110.750E-3
-1.000E-6	-104.830E-3
-900.000E-9	-94.680E-3
-800.000E-9	-84.530E-3
-700.000E-9	-75.230E-3
-600.000E-9	-65.930E-3
-500.000E-9	-57.470E-3
-400.000E-9	-52.400E-3
-300.000E-9	-46.480E-3
-200.000E-9	-36.340E-3
-100.000E-9	-26.200E-3
0.000E+0	-16.050E-3
100.000E-9	-10.130E-3
200.000E-9	-840.000E-6
300.000E-9	8.450E-3
400.000E-9	17.750E-3
500.000E-9	27.050E-3
600.000E-9	32.120E-3
700.000E-9	41.410E-3
800.000E-9	47.320E-3
900.000E-9	57.460E-3
1.000E-6	64.220E-3
1.100E-6	74.350E-3
1.200E-6	84.480E-3
1.300E-6	93.770E-3
1.400E-6	103.050E-3
1.500E-6	111.480E-3
1.600E-6	119.900E-3
1.700E-6	124.950E-3
1.800E-6	134.200E-3
1.900E-6	143.440E-3
2.000E-6	149.320E-3
