Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC4_CCEdge_IV
Temperature(C)= 22.8	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-173.190E-3
-1.900E-6	-173.190E-3
-1.800E-6	-169.720E-3
-1.700E-6	-166.260E-3
-1.600E-6	-157.600E-3
-1.500E-6	-147.210E-3
-1.400E-6	-141.150E-3
-1.300E-6	-130.760E-3
-1.200E-6	-124.700E-3
-1.100E-6	-117.770E-3
-1.000E-6	-106.520E-3
-900.000E-9	-96.120E-3
-800.000E-9	-85.720E-3
-700.000E-9	-76.190E-3
-600.000E-9	-67.540E-3
-500.000E-9	-58.880E-3
-400.000E-9	-53.680E-3
-300.000E-9	-47.620E-3
-200.000E-9	-40.690E-3
-100.000E-9	-33.760E-3
0.000E+0	-21.640E-3
100.000E-9	-9.520E-3
200.000E-9	860.000E-6
300.000E-9	10.380E-3
400.000E-9	19.040E-3
500.000E-9	27.700E-3
600.000E-9	36.350E-3
700.000E-9	45.010E-3
800.000E-9	53.660E-3
900.000E-9	58.850E-3
1.000E-6	68.360E-3
1.100E-6	77.870E-3
1.200E-6	87.380E-3
1.300E-6	96.890E-3
1.400E-6	105.530E-3
1.500E-6	110.710E-3
1.600E-6	120.190E-3
1.700E-6	129.670E-3
1.800E-6	139.140E-3
1.900E-6	148.600E-3
2.000E-6	157.190E-3
