Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC4_CCEdge_IV
Temperature(C)= 20.6	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-168.720E-3
-1.900E-6	-168.720E-3
-1.800E-6	-167.030E-3
-1.700E-6	-161.120E-3
-1.600E-6	-152.690E-3
-1.500E-6	-142.570E-3
-1.400E-6	-133.290E-3
-1.300E-6	-124.860E-3
-1.200E-6	-119.800E-3
-1.100E-6	-113.890E-3
-1.000E-6	-107.150E-3
-900.000E-9	-100.390E-3
-800.000E-9	-88.580E-3
-700.000E-9	-76.760E-3
-600.000E-9	-66.640E-3
-500.000E-9	-60.730E-3
-400.000E-9	-51.450E-3
-300.000E-9	-45.550E-3
-200.000E-9	-35.420E-3
-100.000E-9	-25.300E-3
0.000E+0	-16.020E-3
100.000E-9	-6.740E-3
200.000E-9	1.680E-3
300.000E-9	6.740E-3
400.000E-9	16.020E-3
500.000E-9	21.930E-3
600.000E-9	28.670E-3
700.000E-9	39.640E-3
800.000E-9	46.380E-3
900.000E-9	57.340E-3
1.000E-6	67.460E-3
1.100E-6	76.730E-3
1.200E-6	86.000E-3
1.300E-6	94.420E-3
1.400E-6	102.850E-3
1.500E-6	107.900E-3
1.600E-6	117.150E-3
1.700E-6	126.400E-3
1.800E-6	135.640E-3
1.900E-6	141.520E-3
2.000E-6	147.400E-3
