Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC4_CCEdge_IV
Temperature(C)= 22.2	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-175.000E-3
-1.900E-6	-174.120E-3
-1.800E-6	-170.620E-3
-1.700E-6	-164.500E-3
-1.600E-6	-155.750E-3
-1.500E-6	-150.500E-3
-1.400E-6	-140.880E-3
-1.300E-6	-134.760E-3
-1.200E-6	-127.760E-3
-1.100E-6	-116.390E-3
-1.000E-6	-105.890E-3
-900.000E-9	-98.890E-3
-800.000E-9	-88.380E-3
-700.000E-9	-78.750E-3
-600.000E-9	-69.130E-3
-500.000E-9	-59.500E-3
-400.000E-9	-54.250E-3
-300.000E-9	-48.120E-3
-200.000E-9	-37.620E-3
-100.000E-9	-27.120E-3
0.000E+0	-16.620E-3
100.000E-9	-10.490E-3
200.000E-9	-870.000E-6
300.000E-9	8.750E-3
400.000E-9	14.880E-3
500.000E-9	25.380E-3
600.000E-9	31.500E-3
700.000E-9	38.500E-3
800.000E-9	49.870E-3
900.000E-9	56.870E-3
1.000E-6	63.860E-3
1.100E-6	76.100E-3
1.200E-6	86.590E-3
1.300E-6	97.080E-3
1.400E-6	106.690E-3
1.500E-6	115.420E-3
1.600E-6	120.650E-3
1.700E-6	130.230E-3
1.800E-6	139.820E-3
1.900E-6	149.390E-3
2.000E-6	155.470E-3
