Custom_Flutes_23-Nov-20_4:45:52 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 21.7	Humidity(%)= 8.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-315.800E-3
-9.000E-9	-328.530E-3
-8.000E-9	-319.870E-3
-7.000E-9	-299.170E-3
-6.000E-9	-267.760E-3
-5.000E-9	-244.310E-3
-4.000E-9	-207.460E-3
-3.000E-9	-182.330E-3
-2.000E-9	-142.180E-3
-1.000E-9	-115.500E-3
0.000E+0	-75.410E-3
1.000E-9	-48.710E-3
2.000E-9	-8.620E-3
3.000E-9	29.660E-3
4.000E-9	54.750E-3
5.000E-9	81.540E-3
6.000E-9	121.590E-3
7.000E-9	161.910E-3
8.000E-9	200.400E-3
9.000E-9	223.780E-3
10.000E-9	260.600E-3
