Extended_Flutes_11-Nov-20_2:59:38 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 23.7	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-320.360E-3
-9.000E-9	-334.770E-3
-8.000E-9	-329.660E-3
-7.000E-9	-316.820E-3
-6.000E-9	-296.580E-3
-5.000E-9	-269.420E-3
-4.000E-9	-221.810E-3
-3.000E-9	-175.890E-3
-2.000E-9	-148.760E-3
-1.000E-9	-121.630E-3
0.000E+0	-80.860E-3
1.000E-9	-40.150E-3
2.000E-9	-790.000E-6
3.000E-9	34.820E-3
4.000E-9	68.800E-3
5.000E-9	102.590E-3
6.000E-9	136.610E-3
7.000E-9	170.730E-3
8.000E-9	204.690E-3
9.000E-9	226.790E-3
10.000E-9	263.940E-3
