Extended_Flutes_17-Nov-20_4:50:54 PM	Left_PQC4_CCPoly_IV
Temperature(C)= 22.8	Humidity(%)= 7.0
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-284.620E-3
-9.000E-9	-294.180E-3
-8.000E-9	-289.310E-3
-7.000E-9	-277.940E-3
-6.000E-9	-249.590E-3
-5.000E-9	-225.590E-3
-4.000E-9	-186.710E-3
-3.000E-9	-152.450E-3
-2.000E-9	-119.670E-3
-1.000E-9	-88.210E-3
0.000E+0	-58.250E-3
1.000E-9	-28.300E-3
2.000E-9	1.590E-3
3.000E-9	31.460E-3
4.000E-9	61.320E-3
5.000E-9	91.590E-3
6.000E-9	111.150E-3
7.000E-9	144.030E-3
8.000E-9	177.150E-3
9.000E-9	210.060E-3
10.000E-9	231.000E-3
