Extended_Flutes_19-Nov-20_4:15:14 PM	Right_PQC4_CCPoly_IV
Temperature(C)= 22.2	Humidity(%)= 5.8
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-10.000E-9	-282.950E-3
-9.000E-9	-291.810E-3
-8.000E-9	-286.860E-3
-7.000E-9	-268.190E-3
-6.000E-9	-250.430E-3
-5.000E-9	-226.670E-3
-4.000E-9	-201.410E-3
-3.000E-9	-174.670E-3
-2.000E-9	-146.580E-3
-1.000E-9	-103.680E-3
0.000E+0	-63.600E-3
1.000E-9	-29.570E-3
2.000E-9	1.500E-3
3.000E-9	31.150E-3
4.000E-9	60.750E-3
5.000E-9	90.500E-3
6.000E-9	120.320E-3
7.000E-9	150.180E-3
8.000E-9	169.360E-3
9.000E-9	201.900E-3
10.000E-9	223.980E-3
