Custom_Flutes_23-Nov-20_4:45:52 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 21.7	Humidity(%)= 8.4
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-166.750E-3
-1.900E-6	-165.940E-3
-1.800E-6	-162.710E-3
-1.700E-6	-157.020E-3
-1.600E-6	-148.860E-3
-1.500E-6	-140.640E-3
-1.400E-6	-132.380E-3
-1.300E-6	-124.090E-3
-1.200E-6	-115.780E-3
-1.100E-6	-107.440E-3
-1.000E-6	-102.430E-3
-900.000E-9	-93.210E-3
-800.000E-9	-83.990E-3
-700.000E-9	-74.770E-3
-600.000E-9	-65.540E-3
-500.000E-9	-57.140E-3
-400.000E-9	-48.740E-3
-300.000E-9	-40.340E-3
-200.000E-9	-31.940E-3
-100.000E-9	-23.530E-3
0.000E+0	-15.130E-3
100.000E-9	-6.720E-3
200.000E-9	1.680E-3
300.000E-9	10.090E-3
400.000E-9	18.500E-3
500.000E-9	26.910E-3
600.000E-9	35.320E-3
700.000E-9	40.360E-3
800.000E-9	49.610E-3
900.000E-9	58.860E-3
1.000E-6	68.110E-3
1.100E-6	77.360E-3
1.200E-6	85.780E-3
1.300E-6	94.190E-3
1.400E-6	102.610E-3
1.500E-6	111.020E-3
1.600E-6	119.420E-3
1.700E-6	127.830E-3
1.800E-6	136.240E-3
1.900E-6	144.650E-3
2.000E-6	153.070E-3
