Extended_Flutes_12-Nov-20_2:41:23 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 22.8	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-167.070E-3
-1.900E-6	-166.270E-3
-1.800E-6	-163.040E-3
-1.700E-6	-157.360E-3
-1.600E-6	-149.210E-3
-1.500E-6	-141.000E-3
-1.400E-6	-132.740E-3
-1.300E-6	-124.440E-3
-1.200E-6	-116.120E-3
-1.100E-6	-107.760E-3
-1.000E-6	-99.380E-3
-900.000E-9	-90.980E-3
-800.000E-9	-82.580E-3
-700.000E-9	-74.160E-3
-600.000E-9	-65.750E-3
-500.000E-9	-57.330E-3
-400.000E-9	-48.900E-3
-300.000E-9	-40.470E-3
-200.000E-9	-32.040E-3
-100.000E-9	-23.610E-3
0.000E+0	-15.170E-3
100.000E-9	-10.110E-3
200.000E-9	-830.000E-6
300.000E-9	5.060E-3
400.000E-9	15.190E-3
500.000E-9	25.320E-3
600.000E-9	34.600E-3
700.000E-9	43.880E-3
800.000E-9	52.320E-3
900.000E-9	60.760E-3
1.000E-6	69.200E-3
1.100E-6	77.640E-3
1.200E-6	86.080E-3
1.300E-6	94.520E-3
1.400E-6	102.970E-3
1.500E-6	111.410E-3
1.600E-6	119.850E-3
1.700E-6	128.280E-3
1.800E-6	136.730E-3
1.900E-6	145.170E-3
2.000E-6	150.230E-3
