Extended_Flutes_12-Nov-20_4:09:37 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 23.4	Humidity(%)= 6.9
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-169.670E-3
-1.900E-6	-168.860E-3
-1.800E-6	-165.590E-3
-1.700E-6	-159.850E-3
-1.600E-6	-151.620E-3
-1.500E-6	-143.300E-3
-1.400E-6	-134.930E-3
-1.300E-6	-126.510E-3
-1.200E-6	-118.050E-3
-1.100E-6	-109.570E-3
-1.000E-6	-101.060E-3
-900.000E-9	-92.520E-3
-800.000E-9	-83.970E-3
-700.000E-9	-75.420E-3
-600.000E-9	-66.860E-3
-500.000E-9	-58.300E-3
-400.000E-9	-49.730E-3
-300.000E-9	-41.160E-3
-200.000E-9	-32.590E-3
-100.000E-9	-24.010E-3
0.000E+0	-15.430E-3
100.000E-9	-6.850E-3
200.000E-9	1.720E-3
300.000E-9	10.300E-3
400.000E-9	18.880E-3
500.000E-9	27.460E-3
600.000E-9	36.040E-3
700.000E-9	44.620E-3
800.000E-9	53.210E-3
900.000E-9	61.790E-3
1.000E-6	70.370E-3
1.100E-6	78.960E-3
1.200E-6	87.540E-3
1.300E-6	96.130E-3
1.400E-6	104.720E-3
1.500E-6	113.300E-3
1.600E-6	121.880E-3
1.700E-6	130.460E-3
1.800E-6	139.050E-3
1.900E-6	147.630E-3
2.000E-6	156.220E-3
