Extended_Flutes_18-Nov-20_12:06:39 PM	Left_PQC4_CCStrip_IV
Temperature(C)= 22.0	Humidity(%)= 7.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-173.790E-3
-1.900E-6	-172.960E-3
-1.800E-6	-169.620E-3
-1.700E-6	-166.270E-3
-1.600E-6	-157.840E-3
-1.500E-6	-151.900E-3
-1.400E-6	-141.640E-3
-1.300E-6	-131.310E-3
-1.200E-6	-121.790E-3
-1.100E-6	-112.240E-3
-1.000E-6	-103.510E-3
-900.000E-9	-94.770E-3
-800.000E-9	-86.010E-3
-700.000E-9	-77.250E-3
-600.000E-9	-71.990E-3
-500.000E-9	-62.340E-3
-400.000E-9	-52.690E-3
-300.000E-9	-43.040E-3
-200.000E-9	-33.380E-3
-100.000E-9	-24.600E-3
0.000E+0	-15.810E-3
100.000E-9	-10.540E-3
200.000E-9	-870.000E-6
300.000E-9	8.790E-3
400.000E-9	18.460E-3
500.000E-9	28.120E-3
600.000E-9	36.910E-3
700.000E-9	45.700E-3
800.000E-9	54.490E-3
900.000E-9	63.280E-3
1.000E-6	72.070E-3
1.100E-6	80.860E-3
1.200E-6	89.650E-3
1.300E-6	98.450E-3
1.400E-6	103.730E-3
1.500E-6	113.390E-3
1.600E-6	123.060E-3
1.700E-6	129.210E-3
1.800E-6	139.750E-3
1.900E-6	149.420E-3
2.000E-6	155.580E-3
