Extended_Flutes_20-Nov-20_10:53:07 AM	Left_PQC4_CCStrip_IV
Temperature(C)= 20.6	Humidity(%)= 6.3
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-177.240E-3
-1.900E-6	-176.390E-3
-1.800E-6	-172.980E-3
-1.700E-6	-166.980E-3
-1.600E-6	-161.810E-3
-1.500E-6	-152.270E-3
-1.400E-6	-142.650E-3
-1.300E-6	-132.980E-3
-1.200E-6	-123.260E-3
-1.100E-6	-114.390E-3
-1.000E-6	-105.500E-3
-900.000E-9	-96.580E-3
-800.000E-9	-87.660E-3
-700.000E-9	-78.720E-3
-600.000E-9	-69.790E-3
-500.000E-9	-60.850E-3
-400.000E-9	-51.910E-3
-300.000E-9	-42.960E-3
-200.000E-9	-34.010E-3
-100.000E-9	-25.060E-3
0.000E+0	-16.110E-3
100.000E-9	-7.160E-3
200.000E-9	1.790E-3
300.000E-9	10.740E-3
400.000E-9	19.700E-3
500.000E-9	28.650E-3
600.000E-9	37.610E-3
700.000E-9	46.560E-3
800.000E-9	55.520E-3
900.000E-9	64.470E-3
1.000E-6	69.850E-3
1.100E-6	79.700E-3
1.200E-6	89.550E-3
1.300E-6	99.410E-3
1.400E-6	109.270E-3
1.500E-6	118.220E-3
1.600E-6	127.170E-3
1.700E-6	136.120E-3
1.800E-6	145.080E-3
1.900E-6	154.030E-3
2.000E-6	162.990E-3
