Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC4_CCStrip_IV
Temperature(C)= 21.8	Humidity(%)= 13.1
Settling_time(s) = 0.2	
	
Current (A)	Voltage (V)
-2.000E-6	-157.030E-3
-1.900E-6	-156.260E-3
-1.800E-6	-153.190E-3
-1.700E-6	-147.800E-3
-1.600E-6	-140.080E-3
-1.500E-6	-132.320E-3
-1.400E-6	-124.520E-3
-1.300E-6	-116.710E-3
-1.200E-6	-108.880E-3
-1.100E-6	-101.030E-3
-1.000E-6	-93.160E-3
-900.000E-9	-85.280E-3
-800.000E-9	-77.390E-3
-700.000E-9	-69.500E-3
-600.000E-9	-61.610E-3
-500.000E-9	-53.720E-3
-400.000E-9	-45.820E-3
-300.000E-9	-37.920E-3
-200.000E-9	-30.020E-3
-100.000E-9	-22.120E-3
0.000E+0	-14.220E-3
100.000E-9	-6.320E-3
200.000E-9	1.580E-3
300.000E-9	9.480E-3
400.000E-9	17.390E-3
500.000E-9	25.290E-3
600.000E-9	33.200E-3
700.000E-9	41.110E-3
800.000E-9	49.010E-3
900.000E-9	56.920E-3
1.000E-6	64.820E-3
1.100E-6	72.730E-3
1.200E-6	80.640E-3
1.300E-6	88.550E-3
1.400E-6	96.460E-3
1.500E-6	104.370E-3
1.600E-6	112.270E-3
1.700E-6	120.180E-3
1.800E-6	128.080E-3
1.900E-6	135.990E-3
2.000E-6	143.900E-3
