Extended_Flutes_13-Nov-20_3:24:32 PM	Right_PQC4_GCD05_IV	
Temperature(C)= 23.6	Humidity(%)= 6.3	Bias(V)= -5.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-15.000E+0	-1.419E-12
-14.900E+0	1.562E-12
-14.800E+0	2.056E-12
-14.700E+0	2.120E-12
-14.600E+0	2.101E-12
-14.500E+0	2.094E-12
-14.400E+0	2.059E-12
-14.300E+0	2.010E-12
-14.200E+0	2.060E-12
-14.100E+0	2.045E-12
-14.000E+0	2.046E-12
-13.900E+0	2.040E-12
-13.800E+0	2.040E-12
-13.700E+0	2.094E-12
-13.600E+0	2.025E-12
-13.500E+0	2.025E-12
-13.400E+0	2.014E-12
-13.300E+0	2.036E-12
-13.200E+0	2.022E-12
-13.100E+0	2.042E-12
-13.000E+0	2.032E-12
-12.900E+0	2.060E-12
-12.800E+0	1.991E-12
-12.700E+0	1.999E-12
-12.600E+0	2.045E-12
-12.500E+0	2.053E-12
-12.400E+0	2.042E-12
-12.300E+0	2.049E-12
-12.200E+0	2.054E-12
-12.100E+0	2.073E-12
-12.000E+0	2.062E-12
-11.900E+0	2.062E-12
-11.800E+0	2.085E-12
-11.700E+0	2.094E-12
-11.600E+0	2.088E-12
-11.500E+0	2.118E-12
-11.400E+0	2.131E-12
-11.300E+0	2.080E-12
-11.200E+0	2.085E-12
-11.100E+0	2.119E-12
-11.000E+0	2.152E-12
-10.900E+0	2.176E-12
-10.800E+0	2.183E-12
-10.700E+0	2.187E-12
-10.600E+0	2.211E-12
-10.500E+0	2.219E-12
-10.400E+0	2.218E-12
-10.300E+0	2.261E-12
-10.200E+0	2.292E-12
-10.100E+0	2.298E-12
-10.000E+0	2.308E-12
-9.900E+0	2.346E-12
-9.800E+0	2.381E-12
-9.700E+0	2.404E-12
-9.600E+0	2.461E-12
-9.500E+0	2.458E-12
-9.400E+0	2.511E-12
-9.300E+0	2.533E-12
-9.200E+0	2.586E-12
-9.100E+0	2.645E-12
-9.000E+0	2.678E-12
-8.900E+0	2.773E-12
-8.800E+0	2.799E-12
-8.700E+0	2.898E-12
-8.600E+0	2.974E-12
-8.500E+0	3.085E-12
-8.400E+0	3.200E-12
-8.300E+0	3.377E-12
-8.200E+0	3.573E-12
-8.100E+0	3.828E-12
-8.000E+0	4.198E-12
-7.900E+0	4.739E-12
-7.800E+0	5.664E-12
-7.700E+0	7.034E-12
-7.600E+0	8.164E-12
-7.500E+0	8.702E-12
-7.400E+0	8.899E-12
-7.300E+0	8.991E-12
-7.200E+0	9.167E-12
-7.100E+0	9.378E-12
-7.000E+0	9.438E-12
-6.900E+0	9.522E-12
-6.800E+0	9.507E-12
-6.700E+0	9.499E-12
-6.600E+0	9.501E-12
-6.500E+0	9.492E-12
-6.400E+0	9.480E-12
-6.300E+0	9.480E-12
-6.200E+0	9.479E-12
-6.100E+0	9.483E-12
-6.000E+0	9.481E-12
-5.900E+0	9.495E-12
-5.800E+0	9.492E-12
-5.700E+0	9.468E-12
-5.600E+0	9.473E-12
-5.500E+0	9.452E-12
-5.400E+0	9.468E-12
-5.300E+0	9.478E-12
-5.200E+0	9.430E-12
-5.100E+0	9.403E-12
-5.000E+0	9.417E-12
-4.900E+0	9.413E-12
-4.800E+0	9.397E-12
-4.700E+0	9.403E-12
-4.600E+0	9.385E-12
-4.500E+0	9.396E-12
-4.400E+0	9.385E-12
-4.300E+0	9.337E-12
-4.200E+0	9.331E-12
-4.100E+0	9.356E-12
-4.000E+0	9.322E-12
-3.900E+0	9.297E-12
-3.800E+0	9.289E-12
-3.700E+0	9.248E-12
-3.600E+0	9.233E-12
-3.500E+0	9.216E-12
-3.400E+0	9.219E-12
-3.300E+0	9.193E-12
-3.200E+0	9.162E-12
-3.100E+0	9.163E-12
-3.000E+0	9.090E-12
-2.900E+0	9.037E-12
-2.800E+0	8.977E-12
-2.700E+0	8.911E-12
-2.600E+0	8.800E-12
-2.500E+0	8.651E-12
-2.400E+0	8.375E-12
-2.300E+0	7.711E-12
-2.200E+0	6.094E-12
-2.100E+0	3.709E-12
-2.000E+0	2.375E-12
-1.900E+0	1.847E-12
-1.800E+0	1.520E-12
-1.700E+0	1.172E-12
-1.600E+0	732.880E-15
-1.500E+0	464.860E-15
-1.400E+0	345.180E-15
-1.300E+0	291.580E-15
-1.200E+0	254.150E-15
-1.100E+0	214.040E-15
-1.000E+0	243.800E-15
-900.000E-3	166.290E-15
-800.000E-3	133.630E-15
-700.000E-3	134.030E-15
-600.000E-3	107.000E-15
-500.000E-3	141.780E-15
-400.000E-3	180.110E-15
-300.000E-3	101.410E-15
-200.000E-3	86.970E-15
-100.000E-3	92.010E-15
0.000E+0	116.770E-15
100.000E-3	33.410E-15
200.000E-3	155.680E-15
300.000E-3	133.480E-15
400.000E-3	158.790E-15
500.000E-3	171.510E-15
600.000E-3	146.430E-15
700.000E-3	137.580E-15
800.000E-3	118.700E-15
900.000E-3	127.840E-15
1.000E+0	126.560E-15
1.100E+0	158.910E-15
1.200E+0	143.180E-15
1.300E+0	153.670E-15
1.400E+0	133.180E-15
1.500E+0	163.580E-15
1.600E+0	138.930E-15
1.700E+0	86.450E-15
1.800E+0	93.010E-15
1.900E+0	97.260E-15
2.000E+0	123.590E-15
2.100E+0	89.330E-15
2.200E+0	67.750E-15
2.300E+0	77.060E-15
2.400E+0	109.890E-15
2.500E+0	92.660E-15
2.600E+0	102.790E-15
2.700E+0	57.850E-15
2.800E+0	89.500E-15
2.900E+0	92.770E-15
3.000E+0	48.920E-15
3.100E+0	71.190E-15
3.200E+0	100.810E-15
3.300E+0	46.110E-15
3.400E+0	100.310E-15
3.500E+0	56.040E-15
3.600E+0	80.360E-15
3.700E+0	76.960E-15
3.800E+0	115.930E-15
3.900E+0	76.060E-15
4.000E+0	66.600E-15
4.100E+0	93.350E-15
4.200E+0	90.050E-15
4.300E+0	108.240E-15
4.400E+0	53.170E-15
4.500E+0	60.120E-15
4.600E+0	54.780E-15
4.700E+0	72.480E-15
4.800E+0	52.020E-15
4.900E+0	46.110E-15
5.000E+0	60.380E-15
