Extended_Flutes_17-Nov-20_2:35:19 PM	Left_PQC4_GCD05_IV	
Temperature(C)= 21.4	Humidity(%)= 7.7	Bias(V)= -5.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-15.000E+0	6.911E-12
-14.900E+0	2.779E-12
-14.800E+0	1.918E-12
-14.700E+0	1.738E-12
-14.600E+0	1.678E-12
-14.500E+0	1.670E-12
-14.400E+0	1.634E-12
-14.300E+0	1.640E-12
-14.200E+0	1.636E-12
-14.100E+0	1.624E-12
-14.000E+0	1.614E-12
-13.900E+0	1.616E-12
-13.800E+0	1.643E-12
-13.700E+0	1.649E-12
-13.600E+0	1.580E-12
-13.500E+0	1.593E-12
-13.400E+0	1.640E-12
-13.300E+0	1.657E-12
-13.200E+0	1.649E-12
-13.100E+0	1.642E-12
-13.000E+0	1.646E-12
-12.900E+0	1.647E-12
-12.800E+0	1.648E-12
-12.700E+0	1.663E-12
-12.600E+0	1.682E-12
-12.500E+0	1.684E-12
-12.400E+0	1.682E-12
-12.300E+0	1.687E-12
-12.200E+0	1.696E-12
-12.100E+0	1.706E-12
-12.000E+0	1.706E-12
-11.900E+0	1.726E-12
-11.800E+0	1.735E-12
-11.700E+0	1.747E-12
-11.600E+0	1.761E-12
-11.500E+0	1.776E-12
-11.400E+0	1.793E-12
-11.300E+0	1.792E-12
-11.200E+0	1.798E-12
-11.100E+0	1.817E-12
-11.000E+0	1.821E-12
-10.900E+0	1.840E-12
-10.800E+0	1.846E-12
-10.700E+0	1.861E-12
-10.600E+0	1.876E-12
-10.500E+0	1.895E-12
-10.400E+0	1.898E-12
-10.300E+0	1.935E-12
-10.200E+0	1.955E-12
-10.100E+0	1.962E-12
-10.000E+0	1.993E-12
-9.900E+0	2.011E-12
-9.800E+0	2.045E-12
-9.700E+0	2.065E-12
-9.600E+0	2.119E-12
-9.500E+0	2.128E-12
-9.400E+0	2.165E-12
-9.300E+0	2.197E-12
-9.200E+0	2.232E-12
-9.100E+0	2.279E-12
-9.000E+0	2.320E-12
-8.900E+0	2.370E-12
-8.800E+0	2.434E-12
-8.700E+0	2.504E-12
-8.600E+0	2.574E-12
-8.500E+0	2.662E-12
-8.400E+0	2.761E-12
-8.300E+0	2.869E-12
-8.200E+0	3.016E-12
-8.100E+0	3.190E-12
-8.000E+0	3.407E-12
-7.900E+0	3.726E-12
-7.800E+0	4.152E-12
-7.700E+0	4.868E-12
-7.600E+0	6.060E-12
-7.500E+0	7.545E-12
-7.400E+0	8.458E-12
-7.300E+0	8.845E-12
-7.200E+0	8.969E-12
-7.100E+0	8.999E-12
-7.000E+0	9.004E-12
-6.900E+0	9.014E-12
-6.800E+0	9.006E-12
-6.700E+0	9.001E-12
-6.600E+0	9.007E-12
-6.500E+0	9.015E-12
-6.400E+0	9.006E-12
-6.300E+0	8.998E-12
-6.200E+0	8.994E-12
-6.100E+0	8.998E-12
-6.000E+0	8.995E-12
-5.900E+0	9.008E-12
-5.800E+0	8.984E-12
-5.700E+0	8.989E-12
-5.600E+0	8.968E-12
-5.500E+0	8.966E-12
-5.400E+0	8.947E-12
-5.300E+0	8.962E-12
-5.200E+0	8.955E-12
-5.100E+0	8.943E-12
-5.000E+0	8.937E-12
-4.900E+0	8.929E-12
-4.800E+0	8.926E-12
-4.700E+0	8.920E-12
-4.600E+0	8.908E-12
-4.500E+0	8.896E-12
-4.400E+0	8.894E-12
-4.300E+0	8.875E-12
-4.200E+0	8.872E-12
-4.100E+0	8.888E-12
-4.000E+0	8.850E-12
-3.900E+0	8.835E-12
-3.800E+0	8.828E-12
-3.700E+0	8.819E-12
-3.600E+0	8.801E-12
-3.500E+0	8.786E-12
-3.400E+0	8.762E-12
-3.300E+0	8.752E-12
-3.200E+0	8.727E-12
-3.100E+0	8.703E-12
-3.000E+0	8.678E-12
-2.900E+0	8.646E-12
-2.800E+0	8.603E-12
-2.700E+0	8.550E-12
-2.600E+0	8.483E-12
-2.500E+0	8.389E-12
-2.400E+0	8.254E-12
-2.300E+0	8.037E-12
-2.200E+0	7.668E-12
-2.100E+0	6.494E-12
-2.000E+0	3.972E-12
-1.900E+0	2.121E-12
-1.800E+0	1.254E-12
-1.700E+0	818.730E-15
-1.600E+0	505.360E-15
-1.500E+0	293.840E-15
-1.400E+0	172.630E-15
-1.300E+0	114.830E-15
-1.200E+0	79.280E-15
-1.100E+0	61.380E-15
-1.000E+0	45.480E-15
-900.000E-3	34.630E-15
-800.000E-3	31.390E-15
-700.000E-3	23.770E-15
-600.000E-3	23.620E-15
-500.000E-3	15.130E-15
-400.000E-3	64.260E-15
-300.000E-3	33.370E-15
-200.000E-3	9.620E-15
-100.000E-3	4.390E-15
0.000E+0	58.480E-15
100.000E-3	29.560E-15
200.000E-3	5.730E-15
300.000E-3	-7.800E-15
400.000E-3	8.980E-15
500.000E-3	20.220E-15
600.000E-3	13.050E-15
700.000E-3	-12.240E-15
800.000E-3	34.110E-15
900.000E-3	-3.080E-15
1.000E+0	-16.680E-15
1.100E+0	-16.880E-15
1.200E+0	-5.930E-15
1.300E+0	-17.400E-15
1.400E+0	-16.870E-15
1.500E+0	35.200E-15
1.600E+0	-18.540E-15
1.700E+0	-15.910E-15
1.800E+0	-9.420E-15
1.900E+0	-11.750E-15
2.000E+0	-20.250E-15
2.100E+0	-1.220E-15
2.200E+0	-14.610E-15
2.300E+0	-16.050E-15
2.400E+0	-8.160E-15
2.500E+0	-29.530E-15
2.600E+0	-13.050E-15
2.700E+0	-22.660E-15
2.800E+0	-20.770E-15
2.900E+0	-30.130E-15
3.000E+0	-23.510E-15
3.100E+0	-14.630E-15
3.200E+0	-34.320E-15
3.300E+0	-22.740E-15
3.400E+0	25.130E-15
3.500E+0	-28.250E-15
3.600E+0	-24.130E-15
3.700E+0	-28.500E-15
3.800E+0	-7.330E-15
3.900E+0	-5.920E-15
4.000E+0	-24.680E-15
4.100E+0	-33.600E-15
4.200E+0	-38.040E-15
4.300E+0	-42.420E-15
4.400E+0	-49.790E-15
4.500E+0	-52.940E-15
4.600E+0	-34.440E-15
4.700E+0	-35.280E-15
4.800E+0	-48.980E-15
4.900E+0	-60.170E-15
5.000E+0	-47.430E-15
