Custom_Flutes_23-Nov-20_6:35:55 PM	Right_PQC4_GCD05_IV	
Temperature(C)= 22.2	Humidity(%)= 11.8	Bias(V)= -5.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-15.000E+0	4.063E-12
-14.900E+0	2.437E-12
-14.800E+0	2.534E-12
-14.700E+0	2.461E-12
-14.600E+0	-2.178E-12
-14.500E+0	1.321E-12
-14.400E+0	1.914E-12
-14.300E+0	2.048E-12
-14.200E+0	2.132E-12
-14.100E+0	1.399E-12
-14.000E+0	1.992E-12
-13.900E+0	2.051E-12
-13.800E+0	2.075E-12
-13.700E+0	2.104E-12
-13.600E+0	2.034E-12
-13.500E+0	2.037E-12
-13.400E+0	2.066E-12
-13.300E+0	2.095E-12
-13.200E+0	2.088E-12
-13.100E+0	2.099E-12
-13.000E+0	2.056E-12
-12.900E+0	2.064E-12
-12.800E+0	2.081E-12
-12.700E+0	2.061E-12
-12.600E+0	2.086E-12
-12.500E+0	2.072E-12
-12.400E+0	2.125E-12
-12.300E+0	2.102E-12
-12.200E+0	2.149E-12
-12.100E+0	2.085E-12
-12.000E+0	2.114E-12
-11.900E+0	2.120E-12
-11.800E+0	2.105E-12
-11.700E+0	2.136E-12
-11.600E+0	2.125E-12
-11.500E+0	2.113E-12
-11.400E+0	2.149E-12
-11.300E+0	2.175E-12
-11.200E+0	2.157E-12
-11.100E+0	2.380E-12
-11.000E+0	2.119E-12
-10.900E+0	2.166E-12
-10.800E+0	2.179E-12
-10.700E+0	2.239E-12
-10.600E+0	2.218E-12
-10.500E+0	2.236E-12
-10.400E+0	2.235E-12
-10.300E+0	2.232E-12
-10.200E+0	2.284E-12
-10.100E+0	2.336E-12
-10.000E+0	2.380E-12
-9.900E+0	2.413E-12
-9.800E+0	2.387E-12
-9.700E+0	2.399E-12
-9.600E+0	2.482E-12
-9.500E+0	2.484E-12
-9.400E+0	2.512E-12
-9.300E+0	2.532E-12
-9.200E+0	2.599E-12
-9.100E+0	2.632E-12
-9.000E+0	2.649E-12
-8.900E+0	2.735E-12
-8.800E+0	2.802E-12
-8.700E+0	2.821E-12
-8.600E+0	2.926E-12
-8.500E+0	2.969E-12
-8.400E+0	3.090E-12
-8.300E+0	3.249E-12
-8.200E+0	3.415E-12
-8.100E+0	3.573E-12
-8.000E+0	3.828E-12
-7.900E+0	4.159E-12
-7.800E+0	4.681E-12
-7.700E+0	5.482E-12
-7.600E+0	6.852E-12
-7.500E+0	8.190E-12
-7.400E+0	8.839E-12
-7.300E+0	9.148E-12
-7.200E+0	9.330E-12
-7.100E+0	9.429E-12
-7.000E+0	9.441E-12
-6.900E+0	9.417E-12
-6.800E+0	9.422E-12
-6.700E+0	9.445E-12
-6.600E+0	9.433E-12
-6.500E+0	9.423E-12
-6.400E+0	9.400E-12
-6.300E+0	9.420E-12
-6.200E+0	9.417E-12
-6.100E+0	9.406E-12
-6.000E+0	9.419E-12
-5.900E+0	9.370E-12
-5.800E+0	9.395E-12
-5.700E+0	9.408E-12
-5.600E+0	9.399E-12
-5.500E+0	9.354E-12
-5.400E+0	9.364E-12
-5.300E+0	9.381E-12
-5.200E+0	9.383E-12
-5.100E+0	9.364E-12
-5.000E+0	9.371E-12
-4.900E+0	9.337E-12
-4.800E+0	9.350E-12
-4.700E+0	9.325E-12
-4.600E+0	9.323E-12
-4.500E+0	9.343E-12
-4.400E+0	9.299E-12
-4.300E+0	9.290E-12
-4.200E+0	9.284E-12
-4.100E+0	9.254E-12
-4.000E+0	9.298E-12
-3.900E+0	9.212E-12
-3.800E+0	9.227E-12
-3.700E+0	9.222E-12
-3.600E+0	9.206E-12
-3.500E+0	9.153E-12
-3.400E+0	9.161E-12
-3.300E+0	9.157E-12
-3.200E+0	9.120E-12
-3.100E+0	9.103E-12
-3.000E+0	9.072E-12
-2.900E+0	9.017E-12
-2.800E+0	8.971E-12
-2.700E+0	8.901E-12
-2.600E+0	8.848E-12
-2.500E+0	8.669E-12
-2.400E+0	8.501E-12
-2.300E+0	8.257E-12
-2.200E+0	7.674E-12
-2.100E+0	5.908E-12
-2.000E+0	3.419E-12
-1.900E+0	2.187E-12
-1.800E+0	1.602E-12
-1.700E+0	1.049E-12
-1.600E+0	673.140E-15
-1.500E+0	500.730E-15
-1.400E+0	403.450E-15
-1.300E+0	324.790E-15
-1.200E+0	292.330E-15
-1.100E+0	282.230E-15
-1.000E+0	247.050E-15
-900.000E-3	259.800E-15
-800.000E-3	182.310E-15
-700.000E-3	191.720E-15
-600.000E-3	194.280E-15
-500.000E-3	260.920E-15
-400.000E-3	274.740E-15
-300.000E-3	250.430E-15
-200.000E-3	187.240E-15
-100.000E-3	195.170E-15
0.000E+0	249.260E-15
100.000E-3	190.110E-15
200.000E-3	224.370E-15
300.000E-3	209.600E-15
400.000E-3	198.750E-15
500.000E-3	177.000E-15
600.000E-3	173.880E-15
700.000E-3	185.160E-15
800.000E-3	203.260E-15
900.000E-3	208.420E-15
1.000E+0	190.640E-15
1.100E+0	156.710E-15
1.200E+0	196.910E-15
1.300E+0	178.850E-15
1.400E+0	157.350E-15
1.500E+0	187.030E-15
1.600E+0	170.680E-15
1.700E+0	138.990E-15
1.800E+0	121.790E-15
1.900E+0	151.680E-15
2.000E+0	183.540E-15
2.100E+0	175.160E-15
2.200E+0	182.890E-15
2.300E+0	186.050E-15
2.400E+0	143.210E-15
2.500E+0	115.090E-15
2.600E+0	158.570E-15
2.700E+0	166.220E-15
2.800E+0	171.840E-15
2.900E+0	170.920E-15
3.000E+0	142.900E-15
3.100E+0	178.360E-15
3.200E+0	151.970E-15
3.300E+0	155.040E-15
3.400E+0	224.650E-15
3.500E+0	130.540E-15
3.600E+0	149.700E-15
3.700E+0	165.230E-15
3.800E+0	99.930E-15
3.900E+0	128.420E-15
4.000E+0	167.080E-15
4.100E+0	80.470E-15
4.200E+0	147.000E-15
4.300E+0	111.510E-15
4.400E+0	97.640E-15
4.500E+0	120.570E-15
4.600E+0	177.040E-15
4.700E+0	112.320E-15
4.800E+0	130.410E-15
4.900E+0	149.100E-15
5.000E+0	142.710E-15
