Extended_Flutes_20-Nov-20_2:50:24 PM	Right_PQC4_GCD05_IV	
Temperature(C)= 21.8	Humidity(%)= 12.2	Bias(V)= -5.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-15.000E+0	-86.810E-15
-14.900E+0	987.790E-15
-14.800E+0	1.167E-12
-14.700E+0	1.123E-12
-14.600E+0	1.085E-12
-14.500E+0	1.081E-12
-14.400E+0	1.085E-12
-14.300E+0	1.094E-12
-14.200E+0	1.086E-12
-14.100E+0	1.109E-12
-14.000E+0	1.099E-12
-13.900E+0	1.113E-12
-13.800E+0	1.142E-12
-13.700E+0	1.094E-12
-13.600E+0	1.114E-12
-13.500E+0	1.120E-12
-13.400E+0	1.119E-12
-13.300E+0	1.150E-12
-13.200E+0	1.145E-12
-13.100E+0	1.169E-12
-13.000E+0	1.182E-12
-12.900E+0	1.179E-12
-12.800E+0	1.198E-12
-12.700E+0	1.211E-12
-12.600E+0	1.217E-12
-12.500E+0	1.234E-12
-12.400E+0	1.182E-12
-12.300E+0	1.222E-12
-12.200E+0	1.278E-12
-12.100E+0	1.286E-12
-12.000E+0	1.284E-12
-11.900E+0	1.299E-12
-11.800E+0	1.298E-12
-11.700E+0	1.300E-12
-11.600E+0	1.327E-12
-11.500E+0	1.344E-12
-11.400E+0	1.320E-12
-11.300E+0	1.300E-12
-11.200E+0	1.302E-12
-11.100E+0	1.326E-12
-11.000E+0	1.324E-12
-10.900E+0	1.365E-12
-10.800E+0	1.355E-12
-10.700E+0	1.389E-12
-10.600E+0	1.412E-12
-10.500E+0	1.439E-12
-10.400E+0	1.471E-12
-10.300E+0	1.504E-12
-10.200E+0	1.529E-12
-10.100E+0	1.544E-12
-10.000E+0	1.602E-12
-9.900E+0	1.630E-12
-9.800E+0	1.622E-12
-9.700E+0	1.631E-12
-9.600E+0	1.669E-12
-9.500E+0	1.705E-12
-9.400E+0	1.747E-12
-9.300E+0	1.781E-12
-9.200E+0	1.820E-12
-9.100E+0	1.856E-12
-9.000E+0	1.923E-12
-8.900E+0	1.982E-12
-8.800E+0	2.055E-12
-8.700E+0	2.127E-12
-8.600E+0	2.207E-12
-8.500E+0	2.323E-12
-8.400E+0	2.446E-12
-8.300E+0	2.571E-12
-8.200E+0	2.781E-12
-8.100E+0	2.981E-12
-8.000E+0	3.255E-12
-7.900E+0	3.674E-12
-7.800E+0	4.315E-12
-7.700E+0	5.429E-12
-7.600E+0	6.840E-12
-7.500E+0	7.739E-12
-7.400E+0	8.136E-12
-7.300E+0	8.384E-12
-7.200E+0	8.555E-12
-7.100E+0	8.608E-12
-7.000E+0	8.603E-12
-6.900E+0	8.611E-12
-6.800E+0	8.574E-12
-6.700E+0	8.599E-12
-6.600E+0	8.556E-12
-6.500E+0	8.539E-12
-6.400E+0	8.566E-12
-6.300E+0	8.554E-12
-6.200E+0	8.457E-12
-6.100E+0	8.537E-12
-6.000E+0	8.529E-12
-5.900E+0	8.555E-12
-5.800E+0	8.554E-12
-5.700E+0	8.536E-12
-5.600E+0	8.525E-12
-5.500E+0	8.501E-12
-5.400E+0	8.534E-12
-5.300E+0	8.519E-12
-5.200E+0	8.519E-12
-5.100E+0	8.542E-12
-5.000E+0	8.529E-12
-4.900E+0	8.523E-12
-4.800E+0	8.488E-12
-4.700E+0	8.476E-12
-4.600E+0	8.474E-12
-4.500E+0	8.431E-12
-4.400E+0	8.471E-12
-4.300E+0	8.446E-12
-4.200E+0	8.420E-12
-4.100E+0	8.431E-12
-4.000E+0	8.411E-12
-3.900E+0	8.405E-12
-3.800E+0	8.396E-12
-3.700E+0	8.362E-12
-3.600E+0	8.390E-12
-3.500E+0	8.354E-12
-3.400E+0	8.333E-12
-3.300E+0	8.308E-12
-3.200E+0	8.305E-12
-3.100E+0	8.273E-12
-3.000E+0	8.228E-12
-2.900E+0	8.189E-12
-2.800E+0	8.132E-12
-2.700E+0	8.067E-12
-2.600E+0	7.986E-12
-2.500E+0	7.882E-12
-2.400E+0	7.616E-12
-2.300E+0	7.316E-12
-2.200E+0	6.304E-12
-2.100E+0	3.990E-12
-2.000E+0	2.140E-12
-1.900E+0	1.320E-12
-1.800E+0	759.480E-15
-1.700E+0	240.090E-15
-1.600E+0	47.260E-15
-1.500E+0	-90.490E-15
-1.400E+0	-101.090E-15
-1.300E+0	-201.280E-15
-1.200E+0	-264.890E-15
-1.100E+0	-209.410E-15
-1.000E+0	-228.200E-15
-900.000E-3	-210.910E-15
-800.000E-3	-252.670E-15
-700.000E-3	-289.620E-15
-600.000E-3	-271.390E-15
-500.000E-3	-292.310E-15
-400.000E-3	-189.660E-15
-300.000E-3	-227.210E-15
-200.000E-3	-311.940E-15
-100.000E-3	-290.670E-15
0.000E+0	-260.410E-15
100.000E-3	-288.520E-15
200.000E-3	-326.690E-15
300.000E-3	-309.050E-15
400.000E-3	-309.070E-15
500.000E-3	-289.710E-15
600.000E-3	-300.320E-15
700.000E-3	-328.780E-15
800.000E-3	-370.110E-15
900.000E-3	-364.610E-15
1.000E+0	-386.700E-15
1.100E+0	-371.940E-15
1.200E+0	-385.540E-15
1.300E+0	-377.550E-15
1.400E+0	-357.530E-15
1.500E+0	-323.280E-15
1.600E+0	-349.470E-15
1.700E+0	-293.520E-15
1.800E+0	-339.790E-15
1.900E+0	-314.150E-15
2.000E+0	-314.880E-15
2.100E+0	-315.700E-15
2.200E+0	-295.100E-15
2.300E+0	-341.630E-15
2.400E+0	-341.420E-15
2.500E+0	-295.570E-15
2.600E+0	-288.970E-15
2.700E+0	-278.710E-15
2.800E+0	-351.580E-15
2.900E+0	-340.930E-15
3.000E+0	-367.420E-15
3.100E+0	-363.040E-15
3.200E+0	-385.020E-15
3.300E+0	-341.420E-15
3.400E+0	-288.500E-15
3.500E+0	-302.860E-15
3.600E+0	-324.610E-15
3.700E+0	-351.860E-15
3.800E+0	-342.070E-15
3.900E+0	-354.790E-15
4.000E+0	-319.180E-15
4.100E+0	-348.040E-15
4.200E+0	-330.330E-15
4.300E+0	-277.130E-15
4.400E+0	-306.100E-15
4.500E+0	-269.450E-15
