Custom_Flutes_23-Nov-20_2:21:43 PM	Left_PQC4_GCD05_IV	
Temperature(C)= 21.1	Humidity(%)= 14.6	Bias(V)= -5.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-15.000E+0	2.806E-12
-14.900E+0	1.535E-12
-14.800E+0	1.206E-12
-14.700E+0	1.138E-12
-14.600E+0	1.098E-12
-14.500E+0	1.044E-12
-14.400E+0	1.058E-12
-14.300E+0	1.035E-12
-14.200E+0	1.036E-12
-14.100E+0	1.015E-12
-14.000E+0	1.003E-12
-13.900E+0	1.003E-12
-13.800E+0	997.770E-15
-13.700E+0	1.001E-12
-13.600E+0	1.001E-12
-13.500E+0	996.360E-15
-13.400E+0	1.010E-12
-13.300E+0	1.014E-12
-13.200E+0	990.020E-15
-13.100E+0	997.960E-15
-13.000E+0	1.020E-12
-12.900E+0	1.020E-12
-12.800E+0	1.017E-12
-12.700E+0	1.018E-12
-12.600E+0	1.020E-12
-12.500E+0	1.040E-12
-12.400E+0	1.017E-12
-12.300E+0	1.015E-12
-12.200E+0	1.024E-12
-12.100E+0	1.041E-12
-12.000E+0	1.053E-12
-11.900E+0	1.036E-12
-11.800E+0	1.033E-12
-11.700E+0	1.058E-12
-11.600E+0	1.068E-12
-11.500E+0	1.070E-12
-11.400E+0	1.086E-12
-11.300E+0	1.083E-12
-11.200E+0	1.075E-12
-11.100E+0	1.087E-12
-11.000E+0	1.094E-12
-10.900E+0	1.097E-12
-10.800E+0	1.117E-12
-10.700E+0	1.123E-12
-10.600E+0	1.145E-12
-10.500E+0	1.144E-12
-10.400E+0	1.157E-12
-10.300E+0	1.146E-12
-10.200E+0	1.185E-12
-10.100E+0	1.183E-12
-10.000E+0	1.214E-12
-9.900E+0	1.208E-12
-9.800E+0	1.238E-12
-9.700E+0	1.265E-12
-9.600E+0	1.295E-12
-9.500E+0	1.284E-12
-9.400E+0	1.301E-12
-9.300E+0	1.322E-12
-9.200E+0	1.345E-12
-9.100E+0	1.366E-12
-9.000E+0	1.400E-12
-8.900E+0	1.426E-12
-8.800E+0	1.490E-12
-8.700E+0	1.517E-12
-8.600E+0	1.570E-12
-8.500E+0	1.621E-12
-8.400E+0	1.653E-12
-8.300E+0	1.734E-12
-8.200E+0	1.811E-12
-8.100E+0	1.909E-12
-8.000E+0	2.023E-12
-7.900E+0	2.170E-12
-7.800E+0	2.343E-12
-7.700E+0	2.570E-12
-7.600E+0	2.873E-12
-7.500E+0	3.352E-12
-7.400E+0	4.212E-12
-7.300E+0	5.488E-12
-7.200E+0	6.439E-12
-7.100E+0	6.912E-12
-7.000E+0	7.058E-12
-6.900E+0	7.106E-12
-6.800E+0	7.119E-12
-6.700E+0	7.123E-12
-6.600E+0	7.113E-12
-6.500E+0	7.103E-12
-6.400E+0	7.116E-12
-6.300E+0	7.113E-12
-6.200E+0	7.105E-12
-6.100E+0	7.097E-12
-6.000E+0	7.099E-12
-5.900E+0	7.116E-12
-5.800E+0	7.113E-12
-5.700E+0	7.082E-12
-5.600E+0	7.089E-12
-5.500E+0	7.086E-12
-5.400E+0	7.084E-12
-5.300E+0	7.074E-12
-5.200E+0	7.062E-12
-5.100E+0	7.058E-12
-5.000E+0	7.052E-12
-4.900E+0	12.252E-12
-4.800E+0	7.982E-12
-4.700E+0	7.185E-12
-4.600E+0	7.047E-12
-4.500E+0	7.009E-12
-4.400E+0	7.009E-12
-4.300E+0	6.995E-12
-4.200E+0	6.961E-12
-4.100E+0	6.990E-12
-4.000E+0	6.972E-12
-3.900E+0	6.959E-12
-3.800E+0	6.957E-12
-3.700E+0	6.961E-12
-3.600E+0	6.936E-12
-3.500E+0	6.916E-12
-3.400E+0	6.886E-12
-3.300E+0	6.883E-12
-3.200E+0	6.858E-12
-3.100E+0	6.844E-12
-3.000E+0	6.819E-12
-2.900E+0	6.815E-12
-2.800E+0	6.790E-12
-2.700E+0	6.781E-12
-2.600E+0	6.856E-12
-2.500E+0	6.664E-12
-2.400E+0	6.588E-12
-2.300E+0	6.556E-12
-2.200E+0	6.504E-12
-2.100E+0	6.290E-12
-2.000E+0	5.973E-12
-1.900E+0	5.348E-12
-1.800E+0	3.533E-12
-1.700E+0	1.597E-12
-1.600E+0	612.050E-15
-1.500E+0	155.100E-15
-1.400E+0	-181.310E-15
-1.300E+0	-409.740E-15
-1.200E+0	-544.780E-15
-1.100E+0	-610.730E-15
-1.000E+0	-653.900E-15
-900.000E-3	-679.310E-15
-800.000E-3	-697.430E-15
-700.000E-3	-711.120E-15
-600.000E-3	-714.380E-15
-500.000E-3	-736.860E-15
-400.000E-3	-687.070E-15
-300.000E-3	-740.810E-15
-200.000E-3	-754.380E-15
-100.000E-3	-768.550E-15
0.000E+0	-712.000E-15
100.000E-3	-758.740E-15
200.000E-3	-758.730E-15
300.000E-3	-773.980E-15
400.000E-3	-781.030E-15
500.000E-3	-776.500E-15
600.000E-3	-752.250E-15
700.000E-3	-745.580E-15
800.000E-3	-772.220E-15
900.000E-3	-782.570E-15
1.000E+0	-782.460E-15
1.100E+0	-780.220E-15
1.200E+0	-788.790E-15
1.300E+0	-779.650E-15
1.400E+0	-778.520E-15
1.500E+0	-744.400E-15
1.600E+0	-784.030E-15
1.700E+0	-795.570E-15
1.800E+0	-794.490E-15
1.900E+0	-803.720E-15
2.000E+0	-813.200E-15
2.100E+0	-791.940E-15
2.200E+0	-793.240E-15
2.300E+0	-806.630E-15
2.400E+0	-815.080E-15
2.500E+0	-816.000E-15
2.600E+0	-812.320E-15
2.700E+0	-818.590E-15
2.800E+0	-820.680E-15
2.900E+0	-812.890E-15
3.000E+0	-813.140E-15
3.100E+0	-809.810E-15
3.200E+0	-812.210E-15
3.300E+0	-796.270E-15
3.400E+0	-737.290E-15
3.500E+0	-809.760E-15
3.600E+0	-697.150E-15
3.700E+0	-838.720E-15
3.800E+0	-844.930E-15
3.900E+0	-841.910E-15
4.000E+0	-837.420E-15
4.100E+0	-817.310E-15
4.200E+0	-791.370E-15
4.300E+0	-826.840E-15
4.400E+0	-950.130E-15
4.500E+0	-877.280E-15
4.600E+0	-837.720E-15
4.700E+0	-816.790E-15
4.800E+0	-817.120E-15
4.900E+0	-853.890E-15
5.000E+0	-832.450E-15
