Custom_Flutes_25-Nov-20_1:31:03 PM	Left_PQC4_GCD05_IV	
Temperature(C)= 20.4	Humidity(%)= 13.3	Bias(V)= -5.000E+0
Current_Limit(A) = 10.000E-6	Settling_time(s) = 0.5	
		
Voltage (V)	Current (A)
-15.000E+0	6.981E-12
-14.900E+0	2.624E-12
-14.800E+0	1.734E-12
-14.700E+0	1.557E-12
-14.600E+0	1.493E-12
-14.500E+0	1.478E-12
-14.400E+0	1.442E-12
-14.300E+0	1.409E-12
-14.200E+0	1.418E-12
-14.100E+0	1.393E-12
-14.000E+0	1.395E-12
-13.900E+0	1.401E-12
-13.800E+0	1.377E-12
-13.700E+0	1.388E-12
-13.600E+0	1.412E-12
-13.500E+0	1.388E-12
-13.400E+0	1.377E-12
-13.300E+0	1.403E-12
-13.200E+0	1.389E-12
-13.100E+0	1.398E-12
-13.000E+0	1.423E-12
-12.900E+0	1.369E-12
-12.800E+0	1.379E-12
-12.700E+0	1.407E-12
-12.600E+0	1.400E-12
-12.500E+0	1.413E-12
-12.400E+0	1.378E-12
-12.300E+0	1.415E-12
-12.200E+0	1.393E-12
-12.100E+0	1.381E-12
-12.000E+0	1.404E-12
-11.900E+0	1.371E-12
-11.800E+0	1.423E-12
-11.700E+0	1.428E-12
-11.600E+0	1.417E-12
-11.500E+0	1.418E-12
-11.400E+0	1.460E-12
-11.300E+0	1.369E-12
-11.200E+0	1.336E-12
-11.100E+0	1.400E-12
-11.000E+0	1.435E-12
-10.900E+0	1.483E-12
-10.800E+0	1.475E-12
-10.700E+0	1.503E-12
-10.600E+0	1.491E-12
-10.500E+0	1.547E-12
-10.400E+0	1.525E-12
-10.300E+0	1.536E-12
-10.200E+0	1.555E-12
-10.100E+0	1.525E-12
-10.000E+0	1.557E-12
-9.900E+0	1.561E-12
-9.800E+0	1.557E-12
-9.700E+0	1.611E-12
-9.600E+0	1.640E-12
-9.500E+0	1.705E-12
-9.400E+0	1.693E-12
-9.300E+0	1.713E-12
-9.200E+0	1.730E-12
-9.100E+0	1.748E-12
-9.000E+0	1.772E-12
-8.900E+0	1.837E-12
-8.800E+0	1.850E-12
-8.700E+0	1.911E-12
-8.600E+0	1.948E-12
-8.500E+0	1.989E-12
-8.400E+0	2.072E-12
-8.300E+0	2.115E-12
-8.200E+0	2.222E-12
-8.100E+0	2.292E-12
-8.000E+0	2.395E-12
-7.900E+0	2.551E-12
-7.800E+0	2.730E-12
-7.700E+0	2.971E-12
-7.600E+0	3.281E-12
-7.500E+0	3.775E-12
-7.400E+0	4.702E-12
-7.300E+0	5.992E-12
-7.200E+0	6.907E-12
-7.100E+0	7.292E-12
-7.000E+0	7.413E-12
-6.900E+0	7.430E-12
-6.800E+0	7.432E-12
-6.700E+0	7.469E-12
-6.600E+0	7.342E-12
-6.500E+0	7.350E-12
-6.400E+0	7.386E-12
-6.300E+0	7.406E-12
-6.200E+0	7.334E-12
-6.100E+0	7.331E-12
-6.000E+0	7.393E-12
-5.900E+0	7.410E-12
-5.800E+0	7.401E-12
-5.700E+0	7.390E-12
-5.600E+0	7.392E-12
-5.500E+0	7.347E-12
-5.400E+0	7.366E-12
-5.300E+0	7.367E-12
-5.200E+0	7.341E-12
-5.100E+0	7.352E-12
-5.000E+0	7.346E-12
-4.900E+0	7.356E-12
-4.800E+0	7.367E-12
-4.700E+0	7.361E-12
-4.600E+0	7.330E-12
-4.500E+0	7.336E-12
-4.400E+0	7.310E-12
-4.300E+0	7.327E-12
-4.200E+0	7.304E-12
-4.100E+0	7.331E-12
-4.000E+0	7.294E-12
-3.900E+0	7.281E-12
-3.800E+0	7.263E-12
-3.700E+0	7.259E-12
-3.600E+0	7.269E-12
-3.500E+0	7.238E-12
-3.400E+0	7.221E-12
-3.300E+0	7.212E-12
-3.200E+0	7.191E-12
-3.100E+0	7.188E-12
-3.000E+0	7.140E-12
-2.900E+0	7.150E-12
-2.800E+0	7.113E-12
-2.700E+0	7.078E-12
-2.600E+0	7.048E-12
-2.500E+0	6.998E-12
-2.400E+0	6.952E-12
-2.300E+0	6.846E-12
-2.200E+0	6.772E-12
-2.100E+0	6.578E-12
-2.000E+0	6.260E-12
-1.900E+0	5.497E-12
-1.800E+0	3.458E-12
-1.700E+0	1.661E-12
-1.600E+0	803.780E-15
-1.500E+0	469.600E-15
-1.400E+0	153.490E-15
-1.300E+0	-110.800E-15
-1.200E+0	-220.080E-15
-1.100E+0	-299.310E-15
-1.000E+0	-318.850E-15
-900.000E-3	-310.110E-15
-800.000E-3	-362.510E-15
-700.000E-3	-376.660E-15
-600.000E-3	-355.400E-15
-500.000E-3	-391.640E-15
-400.000E-3	-343.370E-15
-300.000E-3	-392.410E-15
-200.000E-3	-409.980E-15
-100.000E-3	-425.400E-15
0.000E+0	-378.520E-15
100.000E-3	-366.420E-15
200.000E-3	-514.310E-15
300.000E-3	-493.950E-15
400.000E-3	-500.860E-15
500.000E-3	-440.920E-15
600.000E-3	-522.690E-15
700.000E-3	-550.890E-15
800.000E-3	-439.330E-15
900.000E-3	-418.250E-15
1.000E+0	-428.110E-15
1.100E+0	-414.540E-15
1.200E+0	-434.380E-15
1.300E+0	-445.430E-15
1.400E+0	-427.820E-15
1.500E+0	-381.470E-15
1.600E+0	-422.800E-15
1.700E+0	-395.440E-15
1.800E+0	-436.350E-15
1.900E+0	-432.920E-15
2.000E+0	-447.360E-15
2.100E+0	-448.430E-15
2.200E+0	-457.980E-15
2.300E+0	-446.830E-15
2.400E+0	-450.870E-15
2.500E+0	-478.410E-15
2.600E+0	-470.810E-15
2.700E+0	-471.060E-15
2.800E+0	-453.110E-15
2.900E+0	-444.210E-15
3.000E+0	-451.850E-15
3.100E+0	-424.530E-15
3.200E+0	-474.230E-15
3.300E+0	-473.400E-15
3.400E+0	-400.390E-15
3.500E+0	-451.650E-15
3.600E+0	-440.000E-15
3.700E+0	-430.530E-15
3.800E+0	-451.720E-15
3.900E+0	-481.350E-15
4.000E+0	-448.900E-15
4.100E+0	-423.460E-15
4.200E+0	-445.890E-15
4.300E+0	-442.520E-15
4.400E+0	-474.650E-15
